title;address;averageprice;rating
K- Moon;17 Boulevard de Belleville 75011 Paris;Prix moyen 16 €;10
Bistrot Wattignies;1 Rue de Wattignies 75012 Paris;Prix moyen 27 €;9,6
La Grande Cascade - Frédéric Robert;Bois de Boulogne, allée de Longchamp 75016 Paris;Prix moyen 150 €;9,5
Mandaloune;90 Rue Didot 75014 Paris;Prix moyen 15 €;9,4
Upper Café- Les Halles;66 Rue des Lombards 75001 Paris;Prix moyen 17 €;9,5
Le Poulpry;12, rue de Poitiers 75007 Paris;Prix moyen 50 €;9,3
Aarchna;19, rue du Télégraphe 75020 Paris;Prix moyen 20 €;9,1
Carte Blanche;88 Bis Avenue Kléber 75116 Paris;Prix moyen 60 €;9,1
Maison Rostang;20 Rue Rennequin 75017 Paris;Prix moyen 175 €;9,6
Ao Izakaya;12 Rue de Caumartin 75009 Paris;Prix moyen 45 €;9,5
Joeric;47 Rue des 3 Bornes 75011 Paris;Prix moyen 25 €;9,3
Les Rupins;35 Boulevard de Magenta 75010 Paris;Prix moyen 20 €;9,2
Mayfair Garden;26 Rue Lauriston 75116 Paris;Prix moyen 15 €;9,2
Chez Petit Hugo;102Bis Avenue du Général Michel Bizot 75012 Paris;Prix moyen 15 €;9,3
Le Baudelaire - Hôtel Le Burgundy Paris;6/8, rue Duphot 75001 Paris;Prix moyen 80 €;9,6
L'Abeille - Shangri-La Hotel, Paris;10, avenue d'Iena 75016 Paris;Prix moyen 220 €;9,7
La Scène Thélème;18 Rue Troyon 75017 Paris;Prix moyen 125 €;9,4
Addict Factory;30 Boulevard de Vaugirard 75015 Paris;Prix moyen 18 €;9,2
Homies del Mar;13 Rue Beautreillis 75004 Paris;Prix moyen 35 €;9,3
Autour du Saumon Miron;60, rue François Miron 75004 Paris;Prix moyen 42 €;9,2
Sangeet;64 Rue de la Glacière 75013 Paris;Prix moyen 18 €;9
1 Place Vendôme - Hôtel de Vendôme;1, place Vendôme 75001 Paris;Prix moyen 70 €;9,3
O Maquis;119 Rue de Tocqueville 75017 Paris;Prix moyen 33 €;9,4
Le 23 Clauzel - Julie Rivière -;23, rue Clauzel 75009 Paris;Prix moyen 50 €;9,1
Restaurant Frenchie - Grégory Marchand;5, rue du Nil 75002 Paris;Prix moyen 89 €;9,7
Nola;72 Quai de Jemmapes 75010 Paris;Prix moyen 40 €;9,5
Magokoro;33, rue Lamartine 75009 Paris;Prix moyen 35 €;9,1
Chez Marc;12, rue des Volontaires 75015 Paris;Prix moyen 25 €;9,1
Philippe et Jean Pierre;7, rue Boccador 75008 Paris;Prix moyen 49 €;9,1
L'Echoppe de Paris -Charonne;16, rue Léon Frot 75011 Paris;Prix moyen 21 €;9,1
LE DIANERA;57 Rue de la Fontaine au Roi Paris;Prix moyen 20 €;9,1
Lucy's Kamado;62 Rue du Faubourg Montmartre 75009 Paris;Prix moyen 15 €;9,1
Da Mimmo;39, boulevard Magenta 75010 Paris;Prix moyen 29 €;9,5
Sormani Gastronomique;4, rue du Général Lanrezac 75017 Paris;Prix moyen 95 €;9,4
Mount Everest;26 Rue Lamartine 75009 Paris;Prix moyen 15 €;9,1
Le Costaud des Batignolles;10, rue Brochant 75017 Paris;Prix moyen 40 €;9,3
PerBacco;44 Rue Dalayrac 75002 Paris;Prix moyen 18 €;9,2
Arrivederci Pizzeria;47 Rue Gay-Lussac 75005 Paris;Prix moyen 25 €;9,2
Autour du Saumon Convention;116, rue de la Convention 75015 Paris;Prix moyen 43 €;9,2
Spritz;95 Boulevard Bessières 75017 Paris;Prix moyen 15 €;9,2
Hao Long;36 Rue de Richelieu 75001 Paris;Prix moyen 25 €;9,2
Fresh;1, rue Mesnil 75116 Paris;Prix moyen 11 €;9,2
L'assiette Gourmande;73 Rue de Prony 75017 Paris;Prix moyen 25 €;9,2
A Casaluna;6, rue de Beaujolais 75001 Paris;Prix moyen 40 €;9,3
Le Gabriel - La Réserve Paris;42, avenue Gabriel 75008 Paris;Prix moyen 150 €;9,8
Sens Uniques;44, rue Damrémont 75018 Paris;Prix moyen 30 €;9,1
La Scène - Prince de Galles;33, avenue George V 75008 Paris;;9,5
Le Gaigne;2, rue de Vienne 75008 Paris;Prix moyen 55 €;9,3
Bacco;13, rue Mademoiselle 75015 Paris;Prix moyen 40 €;9,2
