title;description;transport;price;room
Location appartement 2 pièces 26 m² Paris 10E;Paris 10e (75010). Appartement 2 pièces de 26,2 m², dans un immeuble ancien avec digicode, 3e étage. Entrée, salon avec cheminée, cuisine ouverte équipée de 2 plaques induction, micro-ondes, lave-linge, réfrigérateur, chambre avec...;Château d'Eau, Gare de l'Est (Verdun), Jacques Bonsergent;1.090 €;Pièces 2 Chambre 1 Surface 26 m 2
Location meublée chambre 20 m² Paris 13E;Paris 13e (75013). Chambre tout confort dans une maison avec jardin. Salon à partager. Cuisine et son équipement à partager (lave-linge, lave-vaisselle, micro-ondes, gazinière, machine à café, ustensiles de cuisine, vaisselle...). ...;Tolbiac, Maison Blanche, Place d'Italie;650 €;Pièce 1 Chambre 1 Surface 20 m 2
Location garage, parking Paris 19E;Paris 19e (75019). Large place de stationnement, 1er sous-sol, sécurisé, Villette 19eme. Location par an. Loyer charges comprises.;Corentin Cariou, Porte de la Villette, Crimée;115 €;
Location appartement 2 pièces 32 m² Paris 5E;Paris 5e (75005). 5ème, proximité Contrescarpe. Appartement 32 m², très clair, lumineux : séjour/salon, 1 chambre, salle de bain, cuisine équipée, fenêtres double vitrage, parquet, porte blindée serrure 3 points. 3e étage. ...;;1.207 €;Pièces 2 Chambre 1 Surface 32 m 2
Location meublée appartement 2 pièces 30 m² Paris 18E;Paris 18e (75018). Appartement 1/2 pièces (portes coulissantes), meublée, environ 30 m². Proche métro La Fourche. Voie privée fleurie, calme, ensoleillée. Coin cuisine (machine à laver, micro-ondes), salle d'eau. Loyer :...;La Fourche, Guy Môquet, Brochant;1.000 €;Pièces 2 Chambre 1 Surface 30 m 2
Location ou cession local commercial 30 m² Paris 3E;Paris 3e (75003). Marais. Belle boutique à céder actuellement salon de coiffure. 88 rue des Archives. Quartier très commerçant, proche de la rue de Bretagne. Cession de bail tous commerces, signé le 1er janvier 2016. Reprise...;;1.630 €;Surface 30 m 2
Location ou cession local commercial 61 m² Paris 9E;Paris 9e (75009). Bail à céder de boutique (cède pour 60.000 € négociable). Boutique 61 m² + cave 1 m². Dans le secteur Rochechouard/Condorcet, entre métros Cadet et Anvers. Bail tous commerces sauf...;Poissonnière, Anvers, Barbès - Rochechouart;1.457 €;Surface 61 m 2
Location appartement 2 pièces 56 m² Paris 17E;Paris 17e (75017). Au 4e étage sans ascenseur d'un immeuble pierre de taille. Bel appartement, lumineux, entièrement rénové de 56 m² composé de 2 pièces (parquet, cheminées, moulures). Idéalement situé, dans un quartier en pleine...;Guy Môquet, La Fourche, Brochant;1.500 €;Pièces 2 Chambre 1 Surface 56 m 2
Location meublée studio 33 m² Paris 17E;Paris 17e (75017). Quartier : Courcelles - Wagram Plaine Monceau/Courcelles. Idéalement situé dans un immeuble pierre de taille, gardienne, digicode / interphone, au 6e et dernier étage sans ascenseur. Beau pied-à-terre meublé,...;;1.216 €;Pièce 1 Surface 33 m 2
Location meublée studio 28 m² Paris 10E;Paris 10e (75010). Très agréable studio meublé dans immeuble moderne, 3e avec ascenseur. Pièce à vivre très claire et grande baie vitrée donnant sur les arbres du jardin de l'immeuble, calme, jardin privé accessible pour les occupants...;;1.250 €;Pièce 1 Surface 28 m 2
Location meublée studio 27 m² Paris;Paris 10e (75010). Studio 27 m², au 2ème étage, 5 cour des Petites Ecuries, métro Bonne Nouvelle (lignes 8/9) ou Strasbourg-Saint-Denis (ligne 4). Grand studio clair, 2 fenêtres double vitrage, meublé et équipé lave-linge, vraie...;;950 €;Pièce 1 Surface 27 m 2
Location meublée appartement 5 pièces 96 m² Paris 10E;Paris 10e (75010). Bel appartement haussmannien 5 pièces, 3 chambres. Entièrement revu et refait à neuf. Immeuble de style Haussmannien. Immeuble en pierre de taille. Cuisine aménagée refaite à neuf. Salle de bains neuve. Fenêtres...;Bonne Nouvelle, Château d'Eau, Strasbourg - Saint-Denis;2.910 €;Pièces 5 Chambres 3 Surface 96 m 2
